team,att_strength,def_strength,att_perc,def_perc,season
Air Force,0.5355123038719443,-0.4009016611662955,83.66336633663366,83.16831683168317,2012
Akron,0.8353158512964814,-0.69872999710032,97.02970297029702,95.54455445544554,2012
Albany (NY),0.19637946177493745,0.29827198574736563,43.06930693069307,17.326732673267326,2012
American,-0.029249676223864457,0.05826341462749909,24.752475247524753,41.584158415841586,2012
Appalachian St.,-0.05015278196358092,-0.6908674782836259,22.277227722772277,95.04950495049505,2012
Army,-0.10442345692831888,0.5324363497560409,16.831683168316832,7.920792079207921,2012
Belmont,0.13956358054648949,0.2528317686342743,33.663366336633665,21.287128712871286,2012
Binghamton,0.1612816827857308,0.262227146363124,37.12871287128713,19.306930693069308,2012
Boston College,0.6261228026553255,-0.3053771544864288,89.10891089108911,75.24752475247524,2012
Boston U.,-0.07007448300318445,-0.1999421097964794,20.2970297029703,68.8118811881188,2012
Bowling Green,0.08877377696698095,0.0327591172851901,29.7029702970297,45.54455445544555,2012
Bradley,0.39098187149026187,-0.35531469105672936,69.3069306930693,78.71287128712872,2012
Brown,0.2826893923879112,-0.4332045668244575,54.45544554455446,86.13861386138613,2012
Bryant,-0.19802120397770706,0.7416465374607709,12.376237623762377,2.4752475247524752,2012
Bucknell,0.2745076665146463,0.12069487454306133,53.46534653465347,36.633663366336634,2012
Buffalo,0.28832967108684265,0.2189276162758954,54.95049504950495,25.247524752475247,2012
Butler,0.15393703437398967,0.19569002514478984,35.64356435643564,27.22772277227723,2012
CSU Bakersfield,0.7476747794996217,-0.5759359008223468,95.04950495049505,91.58415841584159,2012
CSUN,0.6739383720772651,-0.3748357280796251,91.0891089108911,80.19801980198021,2012
Cal Poly,-0.04835514551882908,-0.6378026012257658,22.772277227722775,93.56435643564357,2012
Cal St. Fullerton,0.5054757669725595,-0.2050653748397428,80.19801980198021,69.3069306930693,2012
California,0.26355395262636755,0.09172734872469883,51.48514851485149,39.10891089108911,2012
Campbell,0.343684426425626,0.31079587126809305,62.87128712871287,16.33663366336634,2012
Canisius,-0.3295532954077928,0.3889511863782337,6.9306930693069315,13.366336633663368,2012
Central Ark.,-0.367957888272912,0.12940850877486673,5.445544554455446,35.148514851485146,2012
Central Conn. St.,0.14861528866954266,-0.007973152014158684,34.65346534653465,49.00990099009901,2012
Charlotte,0.6263400314236376,-0.6353750036979291,89.60396039603961,93.06930693069307,2012
Cincinnati,0.30250921493800376,0.14668325115989927,57.920792079207914,31.683168316831683,2012
Clemson,0.3981027693685987,-0.0893328082336341,70.29702970297029,55.940594059405946,2012
Cleveland St.,0.17130516818751446,0.11889468100744392,38.613861386138616,37.12871287128713,2012
Coastal Caro.,0.9441846242253906,-0.24319815876268186,98.51485148514851,71.78217821782178,2012
Col. of Charleston,0.5062027514727558,0.08100280771475207,80.6930693069307,40.099009900990104,2012
Colgate,0.10694307301998056,-0.2643629144536117,30.198019801980198,72.77227722772277,2012
Columbia,0.13251495922855425,-0.13492717112711833,32.67326732673268,60.89108910891089,2012
Cornell,0.3481485372463685,-0.4126231264382549,63.366336633663366,85.14851485148515,2012
Creighton,0.6581076048115662,-2.019179874614636,90.5940594059406,100.0,2012
Dartmouth,0.3625084635085564,-0.17907121619555794,65.34653465346535,66.33663366336634,2012
Davidson,0.1859286112728547,-0.18812818989026187,41.089108910891085,68.31683168316832,2012
Dayton,-0.18555777670106188,0.2719231315475854,12.871287128712872,18.81188118811881,2012
DePaul,0.3288405114001245,0.16179180643011198,60.89108910891089,30.693069306930692,2012
Delaware,0.5887713451976027,-0.1082266646077804,86.63366336633663,58.415841584158414,2012
Denver,0.5317011426762921,0.1859392700948993,83.16831683168317,28.217821782178216,2012
Detroit,0.13096803580364624,0.5913095245840946,32.17821782178218,5.9405940594059405,2012
Drake,0.6913889951249516,0.16383724973872302,92.07920792079209,30.198019801980198,2012
Drexel,-0.1738606423596155,-0.13848194706368833,13.861386138613863,62.37623762376238,2012
Duke,0.7718634344855377,-0.15347016937915575,95.54455445544554,64.35643564356435,2012
Duquesne,0.3636258676886207,0.09314377555505056,65.84158415841584,38.11881188118812,2012
East Tenn. St.,0.14434795990303312,-0.10019394810486627,34.15841584158416,57.920792079207914,2012
Eastern Ill.,0.014796518182259522,0.35754450697436163,26.237623762376238,13.861386138613863,2012
Elon,0.4628983211513199,0.09537600043493588,77.22772277227723,37.62376237623762,2012
Evansville,0.18245166163599127,0.13913020785781774,40.5940594059406,34.15841584158416,2012
FGCU,0.4377335102237736,-0.14252632745161148,74.25742574257426,62.87128712871287,2012
FIU,0.15635348977189684,0.22791458000005504,36.633663366336634,24.752475247524753,2012
Fairfield,0.5040208873551781,0.0702579247908843,79.70297029702971,40.5940594059406,2012
Fairleigh Dickinson,0.20620307784441924,-0.2855650543767633,44.05940594059406,74.75247524752476,2012
Fla. Atlantic,-0.2614400757816628,0.20919092716774976,11.386138613861387,26.237623762376238,2012
Fordham,0.019913659051952803,-0.4456782643283527,26.732673267326735,86.63366336633663,2012
Furman,0.29283662400724936,-0.4553520099231899,55.940594059405946,87.62376237623762,2012
Ga. Southern,0.5189806534633806,0.4758632577744456,81.68316831683168,9.405940594059405,2012
Gardner-Webb,-0.1329692481816649,0.031128299768523326,15.346534653465346,46.03960396039604,2012
George Mason,0.7128136991207844,0.03684024681239522,92.57425742574257,44.554455445544555,2012
George Washington,0.10710986973049623,0.045273915451672336,30.693069306930692,42.57425742574257,2012
Georgetown,0.5755485963238289,-0.3438224140404042,86.13861386138613,78.21782178217822,2012
