,Unnamed: 0,assists,class_year,corners,d_saves,division_id,fouls,g_loss,g_wins,ga,gaa,gc,ggs,goal_app,goalie_min_played,goals,gp,gs,gwg,jersey_number,ncaa_name,player_name,points,ps,psa,red_cards,save_pct,saves,school,season,sh_att,shutouts,team_name,year,yellow_cards
33,33,1,Sr, , ,1,1, , ,,, , , , ,3,23.0,23.0, ,18,Oumar Ballo,"Ballo, Oumar",7.0, , , ,, ,UMBC,2015,13, ,UMBC,2015,4
34,34,8,Sr, , ,1,1, , ,,, , , , ,5,22.0,22.0,1,16,Rob Lovejoy,"Lovejoy, Rob",18.0, , , ,, ,North Carolina,2015,38, ,North Carolina,2015, 
35,35,3,Jr, , ,1,9, , ,,, , , , ,7,17.0,15.0,1,7,Romario Williams,"Williams, Romario",17.0,3,3,1,, ,UCF,2015,70, ,UCF,2015,1
36,36,6,Sr, , ,1,3, , ,,, , , , ,2,21.0,21.0,1,3,Saad Abdul-Salaam,"Abdul-Salaam, Saad",10.0, , , ,, ,Akron,2015,17, ,Akron,2015,1
37,37, ,Sr, , ,1, , , ,,, , , , ,11,19.0,18.0,5,18,Sagi Lev-Ari,"Lev-Ari, Sagi",22.0,2,3, ,, ,CSUN,2015,48, ,CSUN,2015,1
38,38,3,Sr, , ,1,2, , ,,, , , , ,8,17.0,15.0,3,13,Salvador Bernal,"Bernal, Salvador",19.0,3,4, ,, ,UNLV,2015,43, ,UNLV,2015, 
39,39,1,Sr, , ,1, , , ,,, , , , , ,19.0,19.0, ,4,Sergio Campbell,"Campbell, Sergio",1.0, , , ,, ,UConn,2015,10, ,UConn,2015, 
40,40,7,Sr, , ,1, , , ,,, , , , ,1,19.0,19.0, ,10,Seth Casiple,"Casiple, Seth",9.0,1,1, ,, ,California,2015,17, ,California,2015,2
41,41,4,Sr, , ,1, , , ,,, , , , ,1,21.0,21.0, ,13,Shawn McLaws,"McLaws, Shawn",6.0,1,1, ,, ,Coastal Caro.,2015,13, ,Coastal Caro.,2015,2
42,42, ,Sr, , ,1, , , ,,, , , , ,9,19.0,10.0,4,9,Sidney Rivera,"Rivera, Sidney",18.0,3,3, ,, ,Old Dominion,2015,47, ,Old Dominion,2015,1
43,43, ,Sr, , ,1, , , ,,, , , , ,3,19.0,19.0,2,3,Skylar Thomas,"Thomas, Skylar",6.0, , ,1,, ,Syracuse,2015,9, ,Syracuse,2015,4
44,44, ,, , ,1, ,5,9,22.0,1.242, ,17,17,1594:17, ,17.0,17.0, ,1,Spencer Richey,"Richey, Spencer",0.0, , , ,0.758,69,Washington,2015, ,4,Washington,2015, 
