season,team,player,position,school,affiliation,pick,generation_adidas
2017,Real Salt Lake,Andrew Putna,GK,UIC,Chicago Fire U-23,48,0
2017,Columbus Crew SC,Connor Maloney,D,Penn State,Reading United,49,0
2017,San Jose Earthquakes,Christian Thierjung,F,California,Burlingame Dragons,50,0
2017,Vancouver Whitecaps FC,Jorge Gomez Sanchez,M,Temple,None,51,0
2017,Toronto FC,Robert Moewes,GK,Duke,IMG Academy Bradenton,52,0
2017,FC Dallas,Austin Ledbetter,D,SIU Edwardsville,Des Moines Menace,53,0
2017,New York City FC,Chris Wingate,M,New Hampshire,Seattle Sounders U-23,54,0
2017,Philadelphia Union,Chris Nanco,F,Syracuse,Sigma FC,55,0
2017,Seattle Sounders FC,Doug Goodman,M,Georgetown,IMG Academy Bradenton,56,0
2017,Real Salt Lake,PASS,,,None,57,0
2017,Sporting Kansas City,David Greczek,GK,Rutgers,Jersey Express,58,0
2017,FC Dallas,Dakota Barnathan,M,VCU,Portland Timbers U23s,59,0
2017,New York City FC,Michael DeGraffenriedt,D,Louisville,Baltimore Bohemians,60,0
2017,New York Red Bulls,Jordan Scarlett,D,Iona,Lehigh Valley United,61,0
2017,FC Dallas,Wuilito Fernandes,F,UMass Lowell,None,62,0
2017,Montreal Impact,PASS,,,,63,0
2017,Orlando City SC,Danny Deakin,M,South Carolina,Detroit City FC,64,0
2017,Toronto FC,Oyvind Alseth,M,Syracuse,K-W United,65,0
2017,Seattle Sounders FC,Jake Stovall,D,Wright State,Cincinnati Dutch Lions,66,0
2017,Minnesota United FC,Tanner Thompson,M,Indiana,None,67,0
2017,Atlanta United FC,Alex Kapp,GK,Creighton,None,68,0
2017,Chicago Fire,Matej Dekovic,D,Charlotte,None,69,0
2017,Houston Dynamo,Robby Sagel,D,Penn State,Reading United,70,0
2017,Columbus Crew SC,Logan Ketterer,GK,Bradley,Ocean City Nor'easters,71,0
2017,San Jose Earthquakes,Auden Schilder,GK,Washington,Washington Crossfire,72,0
2017,Vancouver Whitecaps FC,Nazeem Bartman,F,South Florida,Michigan Bucks,73,0
2017,Real Salt Lake,PASS,,,,74,0
2017,New England Revolution,Joshua Smith,D,San Francisco,Burlingame Dragons,75,0
2017,Portland Timbers,Russell Cicerone,M,Buffalo,Michigan Bucks,76,0
2017,Philadelphia Union,Jack Elliott,D,West Virginia,South Florida Surf,77,0
2017,D.C. United,PASS,,,,78,0
2017,Real Salt Lake,PASS,,,,79,0
2017,Portland Timbers,Romilio Hernandez,M,Louisville,Portland Timbers U23s,80,0
2017,Los Angeles Galaxy,PASS,,,,81,0
2017,Philadelphia Union,Santi Moar,F,Pfeiffer,Charlotte Eagles,82,0
2017,Toronto FC,Lars Eckenrode,D,Michigan,D.C. United U-23,83,0
2017,FC Dallas,Marco Carrizales,M,Furman,None,84,0
2017,Montreal Impact,PASS,,,,85,0
2017,Colorado Rapids,Peguy Ngatcha,F,Wright State,None,86,0
2017,Toronto FC,Juan Pablo Saavedra,D,Virginia Tech,None,87,0
2017,Seattle Sounders FC,Kyle Bjornethun,D,Seattle,Seattle Sounders FC U-23,88,0
2012,Montreal Impact,Evan James,F,UNC Charlotte,Hamilton Rage,39,0
2012,Vancouver Whitecaps FC,Gienir Garcia,D,None,Cruz Azul,40,0
2012,New England Revolution,Dawyne Smith,F,Bethel,Reading United,41,0
2012,Toronto FC,Michael Green,M,New Mexico,None,42,0
2012,Chivas USA,R. J. Allen,D,Monmouth,Central Jersey Spartans,43,0
2012,Real Salt Lake,Andy Rose,M,UCLA,Ventura County Fusion,44,0
2012,Houston Dynamo,Brian Ownby,F,Virginia,Reading United,45,0
2012,Portland Timbers,Ryan Kawulok,M,Portland,Portland Timbers U23,46,0
2012,Chicago Fire,Evans Frimpong,F,Delaware,Reading United,47,0
2012,Columbus Crew SC,Kirk Urso,M,North Carolina,Reading United,48,0
2012,FC Dallas,Alex Lee,D,Maryland,Real Maryland Monarchs,49,0
2012,Houston Dynamo,Karo Okiomah,F,High Point,Carolina Dynamo,50,0
2012,Philadelphia Union,Tom Brandt,D,Pennsylvania,None,51,0
2012,Toronto FC,Nickardo Blake,D,Connecticut,None,52,0
2012,Chicago Fire,Carl Woszczynski,GK,UAB,Atlanta Blackhakws,53,0
2012,Sporting Kansas City,Shawn Singh,D,UCLA,Ventura County Fusion,54,0
2012,Real Salt Lake,Emiliano Bonfigli,F,None,Manta FC,55,0
2012,Houston Dynamo,Eder Arreola,M,UCLA,Orange County Blues,56,0
2012,Los Angeles Galaxy,Bryan Gaul,M,Bradley,GPS Portland Phoenix,57,0
2012,Montreal Impact,Aaron Schoenfeld,F,East Tennessee State,GPS Portland Phoenix,58,0
2012,Vancouver Whitecaps FC,Greg Klazura,D,Notre Dame,Indiana Invaders,59,0
2012,New England Revolution,Alec Purdie,M,Indiana,None,60,0
2012,Toronto FC,Mykell Bates,D,Santa Clara,None,61,0
2012,Chivas USA,Brian Rowe,GK,UCLA,Ventura County Fusion,62,0
2012,San Jose Earthquakes,Cesar Diaz Pizarro,F,UC Riverside,,63,0
2012,D.C. United,Lance Rozeboom,M,New Mexico,Des Moines Menace,64,0
2012,Portland Timbers,Miguel Ibarra,M,UC Irvine,Orange County Blues,65,0
2012,Chivas USA,Daniel Steres,D,San Diego State,Ventura County Fusion,66,0
2012,Columbus Crew SC,Jamie Finch,D,Washington,Washington Crossfire,67,0
2012,Chivas USA,Fabian Kling,D,Fort Lewis,None,68,0
2012,New York Red Bulls,Mike Volk,D,Virginia,None,69,0
2012,Philadelphia Union,Krystian Witkowski,F,Marist,FC Buffalo,70,0
2012,Seattle Sounders FC,Tim Pontius,D,UC Santa Barbara,None,71,0
2012,Seattle Sounders FC,Jason Banton,F,None,Leicester City,72,0
2012,Sporting Kansas City,Pablo Punyed,M,St. John's,None,73,0
2012,Real Salt Lake,Oliver Kupe,F,Northwestern,None,74,0
2012,Chivas USA,Kevin Venegas,M,Cal State Fullerton,None,75,0
2012,Los Angeles Galaxy,Rafael Garcia,D,Cal State Northridge,FC Hasental,76,0
